type,cast,country,date_added,release_year,rating,duration,listed_in,duration_int
Movie,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,2021-09-02,1994,TV-14,143 min,"Dramas, International Movies, Thrillers",143.0
Movie,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin","United Kingdom, Australia, France",2021-09-02,2009,PG,119 min,"Dramas, Romantic Movies",119.0
Movie,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2021-09-02,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",114.0
Movie,Unknown,"United Kingdom, United States",2021-09-02,2021,PG-13,94 min,Documentaries,94.0
Movie,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2021-09-02,2017,TV-14,106 min,"Dramas, International Movies, Thrillers",106.0
TV Show,"Jon Allen, Kellen Goff, Joe Hernandez, Kaiji Tang",Australia,2021-09-02,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1.0
Movie,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer","United Kingdom, Australia, France, United States",2021-09-02,2003,R,118 min,Thrillers,118.0
TV Show,Unknown,South Korea,2021-09-02,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows",3.0
TV Show,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,2021-09-02,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",1.0
Movie,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2021-09-02,2020,TV-14,115 min,"Dramas, International Movies, Romantic Movies",115.0
Movie,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01,2004,PG,95 min,"Children & Family Movies, Comedies",95.0
Movie,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States",2021-09-01,2005,PG-13,108 min,Dramas,108.0
Movie,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,2021-09-01,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",117.0
Movie,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2021-09-01,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",121.0
Movie,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",2021-09-01,1994,PG-13,142 min,"Action & Adventure, Dramas",142.0
Movie,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan",2021-09-01,1993,R,113 min,Action & Adventure,113.0
Movie,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone","United States, Italy, Romania, United Kingdom",2021-09-01,2003,R,154 min,"Dramas, Romantic Movies",154.0
Movie,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States",2021-09-01,2001,PG,95 min,"Action & Adventure, Comedies",95.0
Movie,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,2021-09-01,2010,PG-13,108 min,"Dramas, Romantic Movies",108.0
Movie,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,2021-09-01,1989,R,120 min,"Classic Movies, Comedies, Dramas",120.0
Movie,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",2021-09-01,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers",100.0
Movie,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",2021-09-01,2015,R,82 min,Action & Adventure,82.0
Movie,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",2021-09-01,2007,PG-13,124 min,Dramas,124.0
Movie,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2021-09-01,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",114.0
Movie,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,2021-09-01,1990,R,104 min,"Comedies, Cult Movies",104.0
Movie,"Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,2021-09-01,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",94.0
Movie,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,2021-09-01,1994,R,94 min,"Comedies, Music & Musicals",94.0
Movie,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,2021-09-01,1998,R,93 min,"Action & Adventure, Comedies",93.0
Movie,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,2021-09-01,1999,R,97 min,Thrillers,97.0
Movie,"Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong",2021-09-01,2005,TV-14,109 min,"Action & Adventure, International Movies",109.0
Movie,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,2021-09-01,2016,TV-MA,88 min,Comedies,88.0
TV Show,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,2021-09-01,2016,TV-Y,2 Seasons,Kids' TV,2.0
